"set","gene"
"AxisB_excl_curated_overlaps","TRIM26"
"AxisB_excl_curated_overlaps","TRIM5"
"AxisB_excl_curated_overlaps","TXNIP"
"AxisB_excl_curated_overlaps","UBA7"
"AxisB_excl_curated_overlaps","UBE2L6"
"AxisB_excl_curated_overlaps","WARS1"
"shared_alpha_gamma","ADAR"
"shared_alpha_gamma","B2M"
"shared_alpha_gamma","BATF2"
"shared_alpha_gamma","BST2"
"shared_alpha_gamma","C1S"
"shared_alpha_gamma","CASP1"
"shared_alpha_gamma","CASP8"
"shared_alpha_gamma","CD74"
"shared_alpha_gamma","CMPK2"
"shared_alpha_gamma","CMTR1"
"shared_alpha_gamma","CXCL10"
"shared_alpha_gamma","CXCL11"
"shared_alpha_gamma","DDX60"
"shared_alpha_gamma","DHX58"
"shared_alpha_gamma","EIF2AK2"
"shared_alpha_gamma","EPSTI1"
"shared_alpha_gamma","GBP4"
"shared_alpha_gamma","HELZ2"
"shared_alpha_gamma","HERC6"
"shared_alpha_gamma","IFI27"
"shared_alpha_gamma","IFI30"
"shared_alpha_gamma","IFI35"
"shared_alpha_gamma","IFI44"
"shared_alpha_gamma","IFI44L"
"shared_alpha_gamma","IFIH1"
"shared_alpha_gamma","IFIT2"
"shared_alpha_gamma","IFIT3"
"shared_alpha_gamma","IFITM2"
"shared_alpha_gamma","IFITM3"
"shared_alpha_gamma","IL15"
"shared_alpha_gamma","IL4R"
"shared_alpha_gamma","IL7"
"shared_alpha_gamma","IRF1"
"shared_alpha_gamma","IRF2"
"shared_alpha_gamma","IRF7"
"shared_alpha_gamma","IRF9"
"shared_alpha_gamma","ISG15"
"shared_alpha_gamma","ISG20"
"shared_alpha_gamma","LAP3"
"shared_alpha_gamma","LGALS3BP"
"shared_alpha_gamma","LY6E"
"shared_alpha_gamma","MX1"
"shared_alpha_gamma","NMI"
"shared_alpha_gamma","OASL"
"shared_alpha_gamma","OGFR"
"shared_alpha_gamma","PARP12"
"shared_alpha_gamma","PARP14"
"shared_alpha_gamma","PLSCR1"
"shared_alpha_gamma","PNPT1"
"shared_alpha_gamma","PSMA3"
"shared_alpha_gamma","PSMB8"
"shared_alpha_gamma","PSMB9"
"shared_alpha_gamma","PSME1"
"shared_alpha_gamma","PSME2"
"shared_alpha_gamma","RIPK2"
"shared_alpha_gamma","RNF31"
"shared_alpha_gamma","RSAD2"
"shared_alpha_gamma","RTP4"
"shared_alpha_gamma","SAMD9L"
"shared_alpha_gamma","SLC25A28"
"shared_alpha_gamma","SP110"
"shared_alpha_gamma","STAT2"
"shared_alpha_gamma","TAP1"
"shared_alpha_gamma","TDRD7"
"shared_alpha_gamma","TRAFD1"
"shared_alpha_gamma","TRIM14"
"shared_alpha_gamma","TRIM21"
"shared_alpha_gamma","TRIM25"
"shared_alpha_gamma","TRIM26"
"shared_alpha_gamma","TXNIP"
"shared_alpha_gamma","UBE2L6"
"shared_alpha_gamma","USP18"
"shared_alpha_gamma","WARS1"
"ligands_descriptive","IFNB1"
"ligands_descriptive","IFNE"
"mitophagy_fission","BNIP3"
"mitophagy_fission","BNIP3L"
"mitophagy_fission","CALCOCO2"
"mitophagy_fission","DNM1L"
"mitophagy_fission","FIS1"
"mitophagy_fission","INF2"
"mitophagy_fission","MFN1"
"mitophagy_fission","MFN2"
"mitophagy_fission","OPA1"
"mitophagy_fission","OPTN"
"mitophagy_fission","PGAM5"
"mitophagy_fission","PINK1"
"mitophagy_fission","PRKN"
"mitophagy_fission","SQSTM1"
"lysosomal","ABCA2"
"lysosomal","ABCB9"
"lysosomal","ACP2"
"lysosomal","ACP5"
"lysosomal","AGA"
"lysosomal","AP1B1"
"lysosomal","AP1G1"
"lysosomal","AP1M1"
"lysosomal","AP1M2"
"lysosomal","AP1S1"
"lysosomal","AP1S2"
"lysosomal","AP1S3"
"lysosomal","AP3B1"
"lysosomal","AP3B2"
"lysosomal","AP3D1"
"lysosomal","AP3M1"
"lysosomal","AP3M2"
"lysosomal","AP3S1"
"lysosomal","AP3S2"
"lysosomal","AP4B1"
"lysosomal","AP4E1"
"lysosomal","AP4M1"
"lysosomal","AP4S1"
"lysosomal","ARSA"
"lysosomal","ARSB"
"lysosomal","ARSG"
"lysosomal","ASAH1"
"lysosomal","ATP6AP1"
"lysosomal","ATP6V0A1"
"lysosomal","ATP6V0A2"
"lysosomal","ATP6V0A4"
"lysosomal","ATP6V0B"
"lysosomal","ATP6V0C"
"lysosomal","ATP6V0D1"
"lysosomal","ATP6V0D2"
"lysosomal","ATP6V1H"
"lysosomal","CD164"
"lysosomal","CD63"
"lysosomal","CD68"
"lysosomal","CLN3"
"lysosomal","CLN5"
"lysosomal","CLTA"
"lysosomal","CLTB"
"lysosomal","CLTC"
"lysosomal","CLTCL1"
"lysosomal","CTNS"
"lysosomal","CTSA"
"lysosomal","CTSB"
"lysosomal","CTSC"
"lysosomal","CTSD"
"lysosomal","CTSE"
"lysosomal","CTSF"
"lysosomal","CTSG"
"lysosomal","CTSH"
"lysosomal","CTSK"
"lysosomal","CTSL"
"lysosomal","CTSO"
"lysosomal","CTSS"
"lysosomal","CTSV"
"lysosomal","CTSW"
"lysosomal","CTSZ"
"lysosomal","DNASE2"
"lysosomal","DNASE2B"
"lysosomal","ENTPD4"
"lysosomal","FUCA1"
"lysosomal","GAA"
"lysosomal","GALC"
"lysosomal","GALNS"
"lysosomal","GBA1"
"lysosomal","GGA1"
"lysosomal","GGA2"
"lysosomal","GGA3"
"lysosomal","GLA"
"lysosomal","GLB1"
"lysosomal","GM2A"
"lysosomal","GNPTAB"
"lysosomal","GNPTG"
"lysosomal","GNS"
"lysosomal","GUSB"
"lysosomal","HEXA"
"lysosomal","HEXB"
"lysosomal","HGSNAT"
"lysosomal","HYAL1"
"lysosomal","IDS"
"lysosomal","IDUA"
"lysosomal","IGF2R"
"lysosomal","LAMP1"
"lysosomal","LAMP2"
"lysosomal","LAMP3"
"lysosomal","LAPTM4A"
"lysosomal","LAPTM4B"
"lysosomal","LAPTM5"
"lysosomal","LGMN"
"lysosomal","LIPA"
"lysosomal","M6PR"
"lysosomal","MAN2B1"
"lysosomal","MANBA"
"lysosomal","MCOLN1"
"lysosomal","MFSD8"
"lysosomal","NAGA"
"lysosomal","NAGLU"
"lysosomal","NAGPA"
"lysosomal","NAPSA"
"lysosomal","NEU1"
"lysosomal","NPC1"
"lysosomal","NPC2"
"lysosomal","PLA2G15"
"lysosomal","PPT1"
"lysosomal","PPT2"
"lysosomal","PSAP"
"lysosomal","PSAPL1"
"lysosomal","SCARB2"
"lysosomal","SGSH"
"lysosomal","SLC11A1"
"lysosomal","SLC11A2"
"lysosomal","SLC17A5"
"lysosomal","SMPD1"
"lysosomal","SORT1"
"lysosomal","SUMF1"
"lysosomal","TCIRG1"
"lysosomal","TFEB"
"lysosomal","TPP1"
"oxphos","ABCB7"
"oxphos","ACAA1"
"oxphos","ACAA2"
"oxphos","ACADM"
"oxphos","ACADSB"
"oxphos","ACADVL"
"oxphos","ACAT1"
"oxphos","ACO2"
"oxphos","AFG3L2"
"oxphos","AIFM1"
"oxphos","ALAS1"
"oxphos","ALDH6A1"
"oxphos","ATP1B1"
"oxphos","ATP5F1A"
"oxphos","ATP5F1B"
"oxphos","ATP5F1C"
"oxphos","ATP5F1D"
"oxphos","ATP5F1E"
"oxphos","ATP5MC1"
"oxphos","ATP5MC2"
"oxphos","ATP5MC3"
"oxphos","ATP5ME"
"oxphos","ATP5MF"
"oxphos","ATP5MG"
"oxphos","ATP5PB"
"oxphos","ATP5PD"
"oxphos","ATP5PF"
"oxphos","ATP5PO"
"oxphos","ATP6AP1"
"oxphos","ATP6V0B"
"oxphos","ATP6V0C"
"oxphos","ATP6V0E1"
"oxphos","ATP6V1C1"
"oxphos","ATP6V1D"
"oxphos","ATP6V1E1"
"oxphos","ATP6V1F"
"oxphos","ATP6V1G1"
"oxphos","ATP6V1H"
"oxphos","BAX"
"oxphos","BCKDHA"
"oxphos","BDH2"
"oxphos","CASP7"
"oxphos","COX10"
"oxphos","COX11"
"oxphos","COX15"
"oxphos","COX17"
"oxphos","COX4I1"
"oxphos","COX5A"
"oxphos","COX5B"
"oxphos","COX6A1"
"oxphos","COX6B1"
"oxphos","COX6C"
"oxphos","COX7A2"
"oxphos","COX7A2L"
"oxphos","COX7B"
"oxphos","COX7C"
"oxphos","COX8A"
"oxphos","CPT1A"
"oxphos","CS"
"oxphos","CYB5A"
"oxphos","CYB5R3"
"oxphos","CYC1"
"oxphos","CYCS"
"oxphos","DECR1"
"oxphos","DLAT"
"oxphos","DLD"
"oxphos","DLST"
"oxphos","ECH1"
"oxphos","ECHS1"
"oxphos","ECI1"
"oxphos","ETFA"
"oxphos","ETFB"
"oxphos","ETFDH"
"oxphos","FDX1"
"oxphos","FH"
"oxphos","FXN"
"oxphos","GLUD1"
"oxphos","GOT2"
"oxphos","GPI"
"oxphos","GPX4"
"oxphos","GRPEL1"
"oxphos","HADHA"
"oxphos","HADHB"
"oxphos","HCCS"
"oxphos","HSD17B10"
"oxphos","HSPA9"
"oxphos","HTRA2"
"oxphos","IDH1"
"oxphos","IDH2"
"oxphos","IDH3A"
"oxphos","IDH3B"
"oxphos","IDH3G"
"oxphos","IMMT"
"oxphos","ISCA1"
"oxphos","ISCU"
"oxphos","LDHA"
"oxphos","LDHB"
"oxphos","LRPPRC"
"oxphos","MAOB"
"oxphos","MDH1"
"oxphos","MDH2"
"oxphos","MFN2"
"oxphos","MGST3"
"oxphos","MPC1"
"oxphos","MRPL11"
"oxphos","MRPL15"
"oxphos","MRPL34"
"oxphos","MRPL35"
"oxphos","MRPS11"
"oxphos","MRPS12"
"oxphos","MRPS15"
"oxphos","MRPS22"
"oxphos","MRPS30"
"oxphos","MTRF1"
"oxphos","MTRR"
"oxphos","MTX2"
"oxphos","NDUFA1"
"oxphos","NDUFA2"
"oxphos","NDUFA3"
"oxphos","NDUFA4"
"oxphos","NDUFA5"
"oxphos","NDUFA6"
"oxphos","NDUFA7"
"oxphos","NDUFA8"
"oxphos","NDUFA9"
"oxphos","NDUFAB1"
"oxphos","NDUFB1"
"oxphos","NDUFB2"
"oxphos","NDUFB3"
"oxphos","NDUFB4"
"oxphos","NDUFB5"
"oxphos","NDUFB6"
"oxphos","NDUFB7"
"oxphos","NDUFB8"
"oxphos","NDUFC1"
"oxphos","NDUFC2"
"oxphos","NDUFS1"
"oxphos","NDUFS2"
"oxphos","NDUFS3"
"oxphos","NDUFS4"
"oxphos","NDUFS6"
"oxphos","NDUFS7"
"oxphos","NDUFS8"
"oxphos","NDUFV1"
"oxphos","NDUFV2"
"oxphos","NNT"
"oxphos","NQO2"
"oxphos","OAT"
"oxphos","OGDH"
"oxphos","OPA1"
"oxphos","OXA1L"
"oxphos","PDHA1"
"oxphos","PDHB"
"oxphos","PDHX"
"oxphos","PDK4"
"oxphos","PDP1"
"oxphos","PHB2"
"oxphos","PHYH"
"oxphos","PMPCA"
"oxphos","POLR2F"
"oxphos","POR"
"oxphos","PRDX3"
"oxphos","RETSAT"
"oxphos","RHOT1"
"oxphos","RHOT2"
"oxphos","SDHA"
"oxphos","SDHB"
"oxphos","SDHC"
"oxphos","SDHD"
"oxphos","SLC25A11"
"oxphos","SLC25A12"
"oxphos","SLC25A20"
"oxphos","SLC25A3"
"oxphos","SLC25A4"
"oxphos","SLC25A5"
"oxphos","SLC25A6"
"oxphos","SUCLA2"
"oxphos","SUCLG1"
"oxphos","SUPV3L1"
"oxphos","SURF1"
"oxphos","TCIRG1"
"oxphos","TIMM10"
"oxphos","TIMM13"
"oxphos","TIMM17A"
"oxphos","TIMM50"
"oxphos","TIMM8B"
"oxphos","TIMM9"
"oxphos","TOMM22"
"oxphos","TOMM70"
"oxphos","UQCR10"
"oxphos","UQCR11"
"oxphos","UQCRB"
"oxphos","UQCRC1"
"oxphos","UQCRC2"
"oxphos","UQCRFS1"
"oxphos","UQCRH"
"oxphos","UQCRQ"
"oxphos","VDAC1"
"oxphos","VDAC2"
"oxphos","VDAC3"
"UPR","ALDH18A1"
"UPR","ARFGAP1"
"UPR","ASNS"
"UPR","ATF3"
"UPR","ATF4"
"UPR","ATF6"
"UPR","ATP6V0D1"
"UPR","BAG3"
"UPR","BANF1"
"UPR","CALR"
"UPR","CCL2"
"UPR","CEBPB"
"UPR","CEBPG"
"UPR","CHAC1"
"UPR","CKS1B"
"UPR","CNOT2"
"UPR","CNOT4"
"UPR","CNOT6"
"UPR","CXXC1"
"UPR","DCP1A"
"UPR","DCP2"
"UPR","DCTN1"
"UPR","DDIT4"
"UPR","DDX10"
"UPR","DKC1"
"UPR","DNAJA4"
"UPR","DNAJB9"
"UPR","DNAJC3"
"UPR","EDC4"
"UPR","EDEM1"
"UPR","EEF2"
"UPR","EIF2AK3"
"UPR","EIF2S1"
"UPR","EIF4A1"
"UPR","EIF4A2"
"UPR","EIF4A3"
"UPR","EIF4E"
"UPR","EIF4EBP1"
"UPR","EIF4G1"
"UPR","ERN1"
"UPR","ERO1A"
"UPR","EXOC2"
"UPR","EXOSC1"
"UPR","EXOSC10"
"UPR","EXOSC2"
"UPR","EXOSC4"
"UPR","EXOSC5"
"UPR","EXOSC9"
"UPR","FKBP14"
"UPR","FUS"
"UPR","GEMIN4"
"UPR","GOSR2"
"UPR","H2AX"
"UPR","HERPUD1"
"UPR","HSP90B1"
"UPR","HSPA5"
"UPR","HSPA9"
"UPR","HYOU1"
"UPR","IARS1"
"UPR","IFIT1"
"UPR","IGFBP1"
"UPR","IMP3"
"UPR","KDELR3"
"UPR","KHSRP"
"UPR","KIF5B"
"UPR","LSM1"
"UPR","LSM4"
"UPR","MTHFD2"
"UPR","MTREX"
"UPR","NABP1"
"UPR","NFYA"
"UPR","NFYB"
"UPR","NHP2"
"UPR","NOLC1"
"UPR","NOP14"
"UPR","NOP56"
"UPR","NPM1"
"UPR","PAIP1"
"UPR","PARN"
"UPR","PDIA5"
"UPR","PDIA6"
"UPR","POP4"
"UPR","PREB"
"UPR","PSAT1"
"UPR","RPS14"
"UPR","RRP9"
"UPR","SDAD1"
"UPR","SEC11A"
"UPR","SEC31A"
"UPR","SERP1"
"UPR","SHC1"
"UPR","SKIC3"
"UPR","SLC1A4"
"UPR","SLC30A5"
"UPR","SLC7A5"
"UPR","SPCS1"
"UPR","SPCS3"
"UPR","SRPRA"
"UPR","SRPRB"
"UPR","SSR1"
"UPR","STC2"
"UPR","TARS1"
"UPR","TATDN2"
"UPR","TSPYL2"
"UPR","TUBB2A"
"UPR","VEGFA"
"UPR","WFS1"
"UPR","WIPI1"
"UPR","XBP1"
"UPR","XPOT"
"UPR","YIF1A"
"UPR","YWHAZ"
"UPR","ZBTB17"
"housekeeping_QC","ACTB"
"housekeeping_QC","GAPDH"
"housekeeping_QC","PPIA"
"housekeeping_QC","RPL13A"
"housekeeping_QC","TBP"
