"set","gene"
"AxisB_reactome_sens","IFNAR2"
"AxisB_reactome_sens","IFNB1"
"AxisB_reactome_sens","IP6K2"
"AxisB_reactome_sens","IRF1"
"AxisB_reactome_sens","IRF2"
"AxisB_reactome_sens","IRF3"
"AxisB_reactome_sens","IRF4"
"AxisB_reactome_sens","IRF5"
"AxisB_reactome_sens","IRF6"
"AxisB_reactome_sens","IRF7"
"AxisB_reactome_sens","IRF8"
"AxisB_reactome_sens","IRF9"
"AxisB_reactome_sens","ISG15"
"AxisB_reactome_sens","ISG20"
"AxisB_reactome_sens","JAK1"
"AxisB_reactome_sens","KPNA1"
"AxisB_reactome_sens","KPNB1"
"AxisB_reactome_sens","MX1"
"AxisB_reactome_sens","MX2"
"AxisB_reactome_sens","OAS1"
"AxisB_reactome_sens","OAS2"
"AxisB_reactome_sens","OAS3"
"AxisB_reactome_sens","OASL"
"AxisB_reactome_sens","PSMB8"
"AxisB_reactome_sens","PTPN1"
"AxisB_reactome_sens","PTPN11"
"AxisB_reactome_sens","PTPN6"
"AxisB_reactome_sens","RNASEL"
"AxisB_reactome_sens","RPS27A"
"AxisB_reactome_sens","RSAD2"
"AxisB_reactome_sens","SAMHD1"
"AxisB_reactome_sens","SOCS1"
"AxisB_reactome_sens","SOCS3"
"AxisB_reactome_sens","STAT1"
"AxisB_reactome_sens","STAT2"
"AxisB_reactome_sens","TYK2"
"AxisB_reactome_sens","UBA52"
"AxisB_reactome_sens","UBB"
"AxisB_reactome_sens","UBC"
"AxisB_reactome_sens","USP18"
"AxisB_reactome_sens","XAF1"
"AxisB_core20_sens","BST2"
"AxisB_core20_sens","EIF2AK2"
"AxisB_core20_sens","HERC5"
"AxisB_core20_sens","IFI44"
"AxisB_core20_sens","IFI44L"
"AxisB_core20_sens","IFI6"
"AxisB_core20_sens","IFIT1"
"AxisB_core20_sens","IFIT2"
"AxisB_core20_sens","IFIT3"
"AxisB_core20_sens","IFITM3"
"AxisB_core20_sens","ISG15"
"AxisB_core20_sens","MX1"
"AxisB_core20_sens","MX2"
"AxisB_core20_sens","OAS1"
"AxisB_core20_sens","OAS2"
"AxisB_core20_sens","OAS3"
"AxisB_core20_sens","OASL"
"AxisB_core20_sens","RSAD2"
"AxisB_core20_sens","SAMD9L"
"AxisB_core20_sens","XAF1"
"alpha_only_descriptive","CCRL2"
"alpha_only_descriptive","CD47"
"alpha_only_descriptive","CNP"
"alpha_only_descriptive","CSF1"
"alpha_only_descriptive","ELF1"
"alpha_only_descriptive","GBP2"
"alpha_only_descriptive","GMPR"
"alpha_only_descriptive","HLA-C"
"alpha_only_descriptive","IFITM1"
"alpha_only_descriptive","LAMP3"
"alpha_only_descriptive","LPAR6"
"alpha_only_descriptive","MOV10"
"alpha_only_descriptive","MVB12A"
"alpha_only_descriptive","NCOA7"
"alpha_only_descriptive","NUB1"
"alpha_only_descriptive","OAS1"
"alpha_only_descriptive","PARP9"
"alpha_only_descriptive","PROCR"
"alpha_only_descriptive","SAMD9"
"alpha_only_descriptive","SELL"
"alpha_only_descriptive","TENT5A"
"alpha_only_descriptive","TMEM140"
"alpha_only_descriptive","TRIM5"
"alpha_only_descriptive","UBA7"
"AxisC1_DNA_sensing","CGAS"
"AxisC1_DNA_sensing","IKBKE"
"AxisC1_DNA_sensing","IRF3"
"AxisC1_DNA_sensing","STING1"
"AxisC1_DNA_sensing","TBK1"
"AxisC1_DNA_sensing","TREX1"
"AxisC2_RNA_sensing","IFIH1"
"AxisC2_RNA_sensing","MAVS"
"AxisC2_RNA_sensing","RIGI"
"AxisD_negative_regulators","PIAS2"
"AxisD_negative_regulators","PTPN2"
"AxisD_negative_regulators","SOCS1"
"AxisD_negative_regulators","SOCS3"
"AxisD_negative_regulators","USP18"
"AxisD_minus_USP18","PIAS2"
"AxisD_minus_USP18","PTPN2"
"AxisD_minus_USP18","SOCS1"
"AxisD_minus_USP18","SOCS3"
"AxisE_gamma_minus_alpha_minus_core20","APOL6"
"AxisE_gamma_minus_alpha_minus_core20","ARID5B"
"AxisE_gamma_minus_alpha_minus_core20","ARL4A"
"AxisE_gamma_minus_alpha_minus_core20","AUTS2"
"AxisE_gamma_minus_alpha_minus_core20","BANK1"
"AxisE_gamma_minus_alpha_minus_core20","BPGM"
"AxisE_gamma_minus_alpha_minus_core20","BTG1"
"AxisE_gamma_minus_alpha_minus_core20","C1R"
"AxisE_gamma_minus_alpha_minus_core20","CASP3"
"AxisE_gamma_minus_alpha_minus_core20","CASP4"
"AxisE_gamma_minus_alpha_minus_core20","CASP7"
"AxisE_gamma_minus_alpha_minus_core20","CCL2"
"AxisE_gamma_minus_alpha_minus_core20","CCL5"
"AxisE_gamma_minus_alpha_minus_core20","CCL7"
"AxisE_gamma_minus_alpha_minus_core20","CD274"
"AxisE_gamma_minus_alpha_minus_core20","CD38"
"AxisE_gamma_minus_alpha_minus_core20","CD40"
"AxisE_gamma_minus_alpha_minus_core20","CD69"
"AxisE_gamma_minus_alpha_minus_core20","CD86"
"AxisE_gamma_minus_alpha_minus_core20","CDKN1A"
"AxisE_gamma_minus_alpha_minus_core20","CFB"
"AxisE_gamma_minus_alpha_minus_core20","CFH"
"AxisE_gamma_minus_alpha_minus_core20","CIITA"
"AxisE_gamma_minus_alpha_minus_core20","CMKLR1"
"AxisE_gamma_minus_alpha_minus_core20","CSF2RB"
"AxisE_gamma_minus_alpha_minus_core20","CXCL9"
"AxisE_gamma_minus_alpha_minus_core20","EIF4E3"
"AxisE_gamma_minus_alpha_minus_core20","FAS"
"AxisE_gamma_minus_alpha_minus_core20","FCGR1A"
"AxisE_gamma_minus_alpha_minus_core20","FGL2"
"AxisE_gamma_minus_alpha_minus_core20","FPR1"
"AxisE_gamma_minus_alpha_minus_core20","GBP6"
"AxisE_gamma_minus_alpha_minus_core20","GCH1"
"AxisE_gamma_minus_alpha_minus_core20","GPR18"
"AxisE_gamma_minus_alpha_minus_core20","GZMA"
"AxisE_gamma_minus_alpha_minus_core20","HIF1A"
"AxisE_gamma_minus_alpha_minus_core20","HLA-A"
"AxisE_gamma_minus_alpha_minus_core20","HLA-B"
"AxisE_gamma_minus_alpha_minus_core20","HLA-DMA"
"AxisE_gamma_minus_alpha_minus_core20","HLA-DQA1"
"AxisE_gamma_minus_alpha_minus_core20","HLA-DRB1"
"AxisE_gamma_minus_alpha_minus_core20","HLA-G"
"AxisE_gamma_minus_alpha_minus_core20","ICAM1"
"AxisE_gamma_minus_alpha_minus_core20","IDO1"
"AxisE_gamma_minus_alpha_minus_core20","IFNAR2"
"AxisE_gamma_minus_alpha_minus_core20","IL10RA"
"AxisE_gamma_minus_alpha_minus_core20","IL15RA"
"AxisE_gamma_minus_alpha_minus_core20","IL18BP"
"AxisE_gamma_minus_alpha_minus_core20","IL2RB"
"AxisE_gamma_minus_alpha_minus_core20","IL6"
"AxisE_gamma_minus_alpha_minus_core20","IRF4"
"AxisE_gamma_minus_alpha_minus_core20","IRF5"
"AxisE_gamma_minus_alpha_minus_core20","IRF8"
"AxisE_gamma_minus_alpha_minus_core20","ISOC1"
"AxisE_gamma_minus_alpha_minus_core20","ITGB7"
"AxisE_gamma_minus_alpha_minus_core20","JAK2"
"AxisE_gamma_minus_alpha_minus_core20","KLRK1"
"AxisE_gamma_minus_alpha_minus_core20","LATS2"
